Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
4,41.0,4103.0,12.1,40,44.0
4,41.0,4103.0,11.2,45,49.0
4,41.0,4103.0,10.6,50,54.0
4,41.0,4103.0,10,55,59.0
4,41.0,4103.0,9.2,60,64.0
4,41.0,4103.0,8.5,65,69.0
4,41.0,4103.0,7,70,74.0
4,41.0,4103.0,6.2,75,79.0
4,41.0,4103.0,4.9,80,84.0
4,41.0,4103.0,4.4,85,
4,41.0,4104.0,0,0,4.0
4,41.0,4104.0,1.8,5,9.0
4,41.0,4104.0,6.3,10,14.0
4,41.0,4104.0,10.4,15,19.0
4,41.0,4104.0,12.1,20,24.0
4,41.0,4104.0,11.6,25,29.0
4,41.0,4104.0,11.8,30,34.0
4,41.0,4104.0,11.2,35,39.0
4,41.0,4104.0,10.6,40,44.0
4,41.0,4104.0,9.8,45,49.0
4,41.0,4104.0,9.3,50,54.0
4,41.0,4104.0,8.5,55,59.0
4,41.0,4104.0,8.1,60,64.0
4,41.0,4104.0,7.7,65,69.0
4,41.0,4104.0,6.9,70,74.0
4,41.0,4104.0,5.5,75,79.0
4,41.0,4104.0,4.4,80,84.0
4,41.0,4104.0,2.3,85,
4,41.0,4105.0,0,0,4.0
4,41.0,4105.0,1.5,5,9.0
4,41.0,4105.0,6.3,10,14.0
4,41.0,4105.0,10.6,15,19.0
4,41.0,4105.0,12.9,20,24.0
4,41.0,4105.0,13,25,29.0
4,41.0,4105.0,13,30,34.0
4,41.0,4105.0,13,35,39.0
4,41.0,4105.0,12.8,40,44.0
4,41.0,4105.0,11.6,45,49.0
4,41.0,4105.0,11,50,54.0
4,41.0,4105.0,10.4,55,59.0
4,41.0,4105.0,10.1,60,64.0
4,41.0,4105.0,10.3,65,69.0
4,41.0,4105.0,9.7,70,74.0
4,41.0,4105.0,7.7,75,79.0
4,41.0,4105.0,7.2,80,84.0
4,41.0,4105.0,6.1,85,
4,41.0,4106.0,0,0,4.0
4,41.0,4106.0,1.5,5,9.0
4,41.0,4106.0,6.1,10,14.0
4,41.0,4106.0,10.5,15,19.0
4,41.0,4106.0,12.8,20,24.0
4,41.0,4106.0,13.1,25,29.0
