Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
2,23.0,2302.0,80 a 84,38.0,18.0,20.0
2,23.0,2302.0,85 o más,29.0,15.0,14.0
3,31.0,3101.0,0 a 4,8618.0,4440.0,4178.0
3,31.0,3101.0,5 a 9,11471.0,5931.0,5540.0
3,31.0,3101.0,10 a 14,13452.0,6771.0,6681.0
3,31.0,3101.0,15 a 19,12309.0,6434.0,5875.0
3,31.0,3101.0,20 a 24,11887.0,6098.0,5789.0
3,31.0,3101.0,25 a 29,13754.0,6845.0,6909.0
3,31.0,3101.0,30 a 34,15066.0,7609.0,7457.0
3,31.0,3101.0,35 a 39,13274.0,6655.0,6619.0
3,31.0,3101.0,40 a 44,11659.0,5706.0,5953.0
3,31.0,3101.0,45 a 49,10321.0,4964.0,5357.0
3,31.0,3101.0,50 a 54,9965.0,4793.0,5172.0
3,31.0,3101.0,55 a 59,9560.0,4637.0,4923.0
3,31.0,3101.0,60 a 64,8814.0,4126.0,4688.0
3,31.0,3101.0,65 a 69,6746.0,3293.0,3453.0
3,31.0,3101.0,70 a 74,4742.0,2220.0,2522.0
3,31.0,3101.0,75 a 79,3211.0,1439.0,1772.0
3,31.0,3101.0,80 a 84,2141.0,913.0,1228.0
3,31.0,3101.0,85 o más,1841.0,662.0,1179.0
3,31.0,3102.0,0 a 4,936.0,486.0,450.0
3,31.0,3102.0,5 a 9,1223.0,682.0,541.0
3,31.0,3102.0,10 a 14,1461.0,700.0,761.0
3,31.0,3102.0,15 a 19,1335.0,696.0,639.0
3,31.0,3102.0,20 a 24,1180.0,624.0,556.0
3,31.0,3102.0,25 a 29,1335.0,694.0,641.0
3,31.0,3102.0,30 a 34,1465.0,697.0,768.0
3,31.0,3102.0,35 a 39,1367.0,673.0,694.0
3,31.0,3102.0,40 a 44,1203.0,593.0,610.0
3,31.0,3102.0,45 a 49,1083.0,514.0,569.0
3,31.0,3102.0,50 a 54,1165.0,598.0,567.0
3,31.0,3102.0,55 a 59,1146.0,579.0,567.0
3,31.0,3102.0,60 a 64,1198.0,577.0,621.0
3,31.0,3102.0,65 a 69,1055.0,516.0,539.0
3,31.0,3102.0,70 a 74,706.0,356.0,350.0
3,31.0,3102.0,75 a 79,456.0,199.0,257.0
3,31.0,3102.0,80 a 84,269.0,132.0,137.0
3,31.0,3102.0,85 o más,222.0,80.0,142.0
